Brand,Processor,OS,RAM,RAM_Type,SSD,Display,Selling_Price,Original_Price,Discount_on_OriginalPrice,Rating
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
MOTOROLA,Intel Core 7 (Series 2),64 bit Windows 11,16,DDR5,512 GB,14,"60,990","1,04,890",41,4.4
Acer,Intel Core i5,64 bit Windows 11 Home,16,DDR4,512 GB,15.6,"87,990","1,14,999",23,4.2
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
DELL,Intel Core 3,64 bit Windows 11 Home,8,DDR5,512 GB,14,"37,990","70,990",46,4
Acer,Intel Core i3,64 bit Windows 11 Home,16,DDR4,512 GB,15.6,"39,990","46,990",14,4.2
Infinix,Intel Core i7,64 bit Windows 11,16,LPDDR4X,512 GB,15.6,"45,490","69,990",35,4.8
ASUS,AMD Ryzen 7 Hexa Core,Windows 11 Home,16,DDR5,1 TB,15.6,"72,990","87,990",17,4.4
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
Lenovo,AMD Ryzen 5 Hexa Core,Windows 11 Home,16,DDR4,512 GB,15.6,"42,990","59,090",27,4.6
ASUS,AMD Ryzen 5 Hexa Core,Windows 11,16,DDR5,512 GB,15.6,"57,990","79,990",27,4.4
Lenovo,AMD Ryzen 7 Octa Core,Windows 11 Home,24,DDR5,1 TB,15.6,"1,15,990","1,32,590",12,4.3
DELL,Intel Core Ultra 7,Windows 11,16,LPDDR5X,512 GB,14,"1,01,990","1,16,859",12,4.8
Colorful,Intel Core i7,64 bit Windows 11,16,DDR5,512 GB,15.6,"77,999","1,19,999",35,4.2
MOTOROLA,Intel Core 7 (Series 2),64 bit Windows 11,16,DDR5,512 GB,14,"60,990","1,04,890",41,4.4
ASUS,Intel Core i3,64 bit Windows 11,8,DDR4,256 GB,14,"35,990","50,990",29,4.3
Lenovo,Intel Pentium Quad Core,Chrome,4,LPDDR5,,14,"17,990","36,690",50,3.6
ASUS,Intel Core 5,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"64,990","89,990",27,4.2
DELL,Intel Core Ultra 5,Windows 11 Home,16,LPDDR5X,512 GB,14,"77,990","98,040",20,4.3
DELL,Intel Core 3,Windows 11,8,DDR4,512 GB,15,"46,990","48,868",3,4.3
ASUS,Intel Core i3,Windows 11,8,DDR4,512 GB,15.6,"40,990","50,990",19,4.3
DELL,Intel Core i5,Windows 11,16,DDR5,1 TB,15.6,"78,990","1,01,709",22,4.2
DELL,Snapdragon X,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,990","87,704",30,
Acer,Intel Core i3,64 bit Windows 11,8,DDR4,512 GB,14,"29,990","43,000",30,4.2
Lenovo,Intel Core i3,Windows 11 Home,8,LPDDR5,512 GB,15.6,"43,990","49,990",12,4.4
Acer,AMD Ryzen 5 Hexa Core,Windows 11,16,LPDDR4X,512 GB,14,"44,990","69,999",35,4.4
Acer,AMD Ryzen 7 Octa Core,Windows 11,16,LPDDR4X,512 GB,14,"49,990","79,999",37,4.3
DELL,Intel Core i5,Windows 11,16,DDR4,512 GB,15.6,"56,990","64,874",12,4.3
DELL,Intel Core i5,64 bit Windows 11,8,DDR4,512 GB,15.6,"50,490","63,416",20,4.2
Acer,Intel Core Ultra 5,64 bit Windows 11 Home,16,LPDDR5,512 GB,14,"62,999","84,999",25,4.2
ASUS,Intel Core i5,Windows 11,16,DDR4,512 GB,17.3,"50,990","85,990",40,4.3
ASUS,Intel Core 7,64 bit Windows 11 Home,16,DDR5,512 GB,15.6,"76,990","99,990",23,4.2
DELL,Intel Core Ultra 5,Windows 11,16,LPDDR5X,512 GB,14,"90,490","1,02,656",11,4.3
Acer,Intel Core i9,Windows 11,32,DDR5,1 TB,16,"2,56,999",,,4.4
ASUS,Intel Core i3,Windows 11 Home,16,DDR4,512 GB,15.6,"45,990","56,990",19,4.3
HP,Intel Core i5,Windows 11 Home,16,DDR4,512 GB,15.6,"73,490","87,262",15,4.2
ASUS,Intel Core i3,Windows 11 Home,16,DDR4,512 GB,15.6,"46,990","54,990",14,4.3
Lenovo,AMD Ryzen 7 Octa Core,Windows 11 Home,24,DDR5,1 TB,15.6,"1,15,990","1,32,590",12,4.3
DELL,Intel Core Ultra 7,Windows 11,16,LPDDR5X,512 GB,14,"1,01,990","1,16,859",12,4.8
HP,Intel Core i5,Windows 11 Home,16,LPDDR5X,512 GB,14,"60,999","92,746",34,4.3
